metric_id,section,real_table,real_columns,status,note
active_learners,product_health,learning_events,user_id;verb;result;created_at,DERIVABLE,"count distinct user_id forming a closed learning loop in window (verb/result predicate per Data Contract)"
daily_active_learners,product_health,learning_events,user_id;created_at,READY,"count distinct user_id with >=1 event in window"
activation_rate,product_health,learning_events + user_item_states,user_id;verb;created_at;last_reviewed_at,DERIVABLE,"first-use users with a state_write/review within 24h; denominator = mature first-use cohort"
d7_retention,product_health,learning_events,user_id;created_at,DERIVABLE,"cohort by first activation date, fraction active at day 7; needs cohort window logic"
first_use,lifecycle,learning_events,user_id;verb;created_at,READY,"distinct users with a first-use event"
activation,lifecycle,learning_events + user_item_states,user_id;verb;last_reviewed_at,DERIVABLE,"first-use users with review within 24h"
return_visit,lifecycle,learning_events,user_id;created_at,DERIVABLE,"users active on a calendar day after first day"
d7_retention_cohort,lifecycle,learning_events,user_id;created_at,DERIVABLE,"cohort retention at day 7"
habit,lifecycle,learning_events,user_id;created_at,DERIVABLE,"users with >=3 distinct active days in window"
retention_matrix_d1/l3/l7/habit,lifecycle,learning_events,user_id;created_at,DERIVABLE,"per activation cohort retention percentages"
immediate_improvement,learning_impact,speaking_evaluations / learning_analytics,pronunciation;grammar;overall_score;feedback_score,DERIVABLE,"within-session before/after delta; sample = sessions with pre+post signals"
free_recall,learning_impact,learning_events,result;word_id,DERIVABLE,"un-prompted recall correctness from review events"
delayed_recall,learning_impact,user_item_states,last_result;rep_count;due_at,DERIVABLE,"post-interval review correctness"
transfer,learning_impact,(none),,GAP,"no cross-situation/cross-context signal in schema"
learn_success,product_diagnosis.features,learning_events,verb=learn_start;result,DERIVABLE,"success rate of learn-start events with defined denominator"
review_success,product_diagnosis.features,learning_events,verb=review;result,DERIVABLE,"review success rate"
speaking_completion,product_diagnosis.features,speaking_sessions,ended_at;started_at,DERIVABLE,"completed (ended_at present) / started"
feedback_usefulness,product_diagnosis.features,speaking_evaluations,feedback_score;overall_score,DERIVABLE,"usable evaluation score distribution"
report_usage,product_diagnosis.features,(report only in-memory),,GAP,"report module has no persisted table; PARTIAL per Kit"
offline_pass_rate,product_diagnosis.ai_quality.offline,docs/eval/runs/<run_id>/results.json,metrics.evals.m1_eval_pass_rate_pct;case_level.pass_rate_pct,READY,"latest run by run_id timestamp desc via latestRunResults()"
offline_critical_failure_rate,product_diagnosis.ai_quality.offline,docs/eval/runs/<run_id>/results.json,metrics.evals.m3_critical_failure_rate_pct;row_level.critical_failure_rate_pct,READY,"same latest run"
runtime_failure_by_layer,product_diagnosis.ai_quality.runtime,(trace only in-process MemoryStore),,GAP,"no 0009_trace.sql table; trace not persisted across processes -> runtime failure counts unavailable for real data"
